strategy,config_id,parameters_json,trades,wins,losses,signals,expectancy_R,gross_expectancy_R,avg_cost_R,profit_factor_R,max_drawdown_R,cost_share_of_gross_wins,param_adx_threshold,param_adx_window,param_atr_stop_multiplier,param_atr_stop_window,param_fast_ema,param_max_hold_bars,param_pullback_lookback,param_require_di,param_risk_reward,param_side,param_slow_ema,param_min_bars_after_reset,param_regime_ema,param_volume_mult,param_volume_window,param_vwap_slope_lookback,param_atr_window,param_level_lookback,param_reclaim_atr,param_stop_atr,param_sweep_atr,param_breakout_atr_buffer,param_lookback
rolling_sweep_reclaim,371ac17215b6fafae1b079bd,"{""atr_window"":14,""level_lookback"":96,""max_hold_bars"":64,""reclaim_atr"":0.0,""regime_ema"":200,""risk_reward"":1.5,""side"":""short"",""stop_atr"":0.25,""sweep_atr"":0.15}",22.0,14.0,8.0,22.0,0.30317073424706364,0.6072720784154364,0.3041013441683728,1.8210839771185832,2.027499432681545,0.3398163732908702,,,,,,64,,,1.5,short,,,200.0,,,,14.0,96.0,0.0,0.25,0.15,,
rolling_sweep_reclaim,4c08f9de25f2b57594975179,"{""atr_window"":14,""level_lookback"":96,""max_hold_bars"":64,""reclaim_atr"":0.1,""regime_ema"":200,""risk_reward"":1.5,""side"":""short"",""stop_atr"":0.25,""sweep_atr"":0.15}",22.0,14.0,8.0,22.0,0.30317073424706364,0.6072720784154364,0.3041013441683728,1.8210839771185832,2.027499432681545,0.3398163732908702,,,,,,64,,,1.5,short,,,200.0,,,,14.0,96.0,0.1,0.25,0.15,,
rolling_sweep_reclaim,7e969e775bbb97c72f85b4cc,"{""atr_window"":21,""level_lookback"":96,""max_hold_bars"":64,""reclaim_atr"":0.0,""regime_ema"":200,""risk_reward"":1.5,""side"":""short"",""stop_atr"":0.25,""sweep_atr"":0.15}",22.0,14.0,8.0,22.0,0.30214798031298135,0.607605234229006,0.3054572539160248,1.8175625512811955,2.0396793091630547,0.34115579917864564,,,,,,64,,,1.5,short,,,200.0,,,,21.0,96.0,0.0,0.25,0.15,,
rolling_sweep_reclaim,cd47857bbedd4c68276d930d,"{""atr_window"":21,""level_lookback"":96,""max_hold_bars"":64,""reclaim_atr"":0.1,""regime_ema"":200,""risk_reward"":1.5,""side"":""short"",""stop_atr"":0.25,""sweep_atr"":0.15}",22.0,14.0,8.0,22.0,0.30214798031298135,0.607605234229006,0.3054572539160248,1.8175625512811955,2.0396793091630547,0.34115579917864564,,,,,,64,,,1.5,short,,,200.0,,,,21.0,96.0,0.1,0.25,0.15,,
rolling_sweep_reclaim,78f7fba5610f069c0162e2e9,"{""atr_window"":14,""level_lookback"":96,""max_hold_bars"":64,""reclaim_atr"":0.0,""regime_ema"":200,""risk_reward"":2.0,""side"":""short"",""stop_atr"":0.1,""sweep_atr"":0.0}",29.0,16.0,13.0,29.0,0.25711117361989416,0.5904629788413631,0.3333518052214689,1.49249587942189,3.467258256000081,0.3396617287499787,,,,,,64,,,2.0,short,,,200.0,,,,14.0,96.0,0.0,0.1,0.0,,
rolling_sweep_reclaim,62e5e031209b9799f72ab128,"{""atr_window"":14,""level_lookback"":96,""max_hold_bars"":64,""reclaim_atr"":0.1,""regime_ema"":200,""risk_reward"":2.0,""side"":""short"",""stop_atr"":0.1,""sweep_atr"":0.0}",29.0,16.0,13.0,29.0,0.25711117361989416,0.5904629788413631,0.3333518052214689,1.49249587942189,3.467258256000081,0.3396617287499787,,,,,,64,,,2.0,short,,,200.0,,,,14.0,96.0,0.1,0.1,0.0,,
rolling_sweep_reclaim,4302b6bd77f43866dca2a2a1,"{""atr_window"":21,""level_lookback"":96,""max_hold_bars"":64,""reclaim_atr"":0.0,""regime_ema"":200,""risk_reward"":2.0,""side"":""short"",""stop_atr"":0.1,""sweep_atr"":0.0}",29.0,16.0,13.0,29.0,0.25687503658453514,0.5905995665219723,0.33372452993743706,1.4918966344846378,3.4668157347706003,0.3399800250985767,,,,,,64,,,2.0,short,,,200.0,,,,21.0,96.0,0.0,0.1,0.0,,
rolling_sweep_reclaim,83998cd48aea0ca813e99845,"{""atr_window"":21,""level_lookback"":96,""max_hold_bars"":64,""reclaim_atr"":0.1,""regime_ema"":200,""risk_reward"":2.0,""side"":""short"",""stop_atr"":0.1,""sweep_atr"":0.0}",29.0,16.0,13.0,29.0,0.25687503658453514,0.5905995665219723,0.33372452993743706,1.4918966344846378,3.4668157347706003,0.3399800250985767,,,,,,64,,,2.0,short,,,200.0,,,,21.0,96.0,0.1,0.1,0.0,,
rolling_sweep_reclaim,028d6379870a844b14621245,"{""atr_window"":14,""level_lookback"":96,""max_hold_bars"":64,""reclaim_atr"":0.0,""regime_ema"":200,""risk_reward"":1.5,""side"":""short"",""stop_atr"":0.25,""sweep_atr"":0.0}",28.0,17.0,11.0,28.0,0.22249448491346696,0.5307137758978425,0.3082192909843755,1.5146533750645503,4.481107482580294,0.3567975479724461,,,,,,64,,,1.5,short,,,200.0,,,,14.0,96.0,0.0,0.25,0.0,,
rolling_sweep_reclaim,09a3c8765067a97f7109872b,"{""atr_window"":14,""level_lookback"":96,""max_hold_bars"":64,""reclaim_atr"":0.1,""regime_ema"":200,""risk_reward"":1.5,""side"":""short"",""stop_atr"":0.25,""sweep_atr"":0.0}",28.0,17.0,11.0,28.0,0.22249448491346696,0.5307137758978425,0.3082192909843755,1.5146533750645503,4.481107482580294,0.3567975479724461,,,,,,64,,,1.5,short,,,200.0,,,,14.0,96.0,0.1,0.25,0.0,,
rolling_sweep_reclaim,d55d126f0cdd6f830ef28e20,"{""atr_window"":21,""level_lookback"":96,""max_hold_bars"":64,""reclaim_atr"":0.0,""regime_ema"":200,""risk_reward"":1.5,""side"":""short"",""stop_atr"":0.25,""sweep_atr"":0.0}",28.0,17.0,11.0,28.0,0.22182343109893968,0.5309755411799351,0.3091521100809955,1.5125249994680938,4.491405314308448,0.357727405433036,,,,,,64,,,1.5,short,,,200.0,,,,21.0,96.0,0.0,0.25,0.0,,
rolling_sweep_reclaim,a7e7be54e56e965ed7ab768f,"{""atr_window"":21,""level_lookback"":96,""max_hold_bars"":64,""reclaim_atr"":0.1,""regime_ema"":200,""risk_reward"":1.5,""side"":""short"",""stop_atr"":0.25,""sweep_atr"":0.0}",28.0,17.0,11.0,28.0,0.22182343109893968,0.5309755411799351,0.3091521100809955,1.5125249994680938,4.491405314308448,0.357727405433036,,,,,,64,,,1.5,short,,,200.0,,,,21.0,96.0,0.1,0.25,0.0,,
rolling_sweep_reclaim,19b0581bc81dd2c842edb9d8,"{""atr_window"":14,""level_lookback"":96,""max_hold_bars"":64,""reclaim_atr"":0.0,""regime_ema"":200,""risk_reward"":2.0,""side"":""short"",""stop_atr"":0.1,""sweep_atr"":0.15}",22.0,12.0,10.0,22.0,0.22080151797045836,0.5510648357454331,0.3302633177749748,1.4398718869553075,3.4672582560000813,0.35509989814572523,,,,,,64,,,2.0,short,,,200.0,,,,14.0,96.0,0.0,0.1,0.15,,
rolling_sweep_reclaim,cae46b6b089cdad9e78f5cf5,"{""atr_window"":14,""level_lookback"":96,""max_hold_bars"":64,""reclaim_atr"":0.1,""regime_ema"":200,""risk_reward"":2.0,""side"":""short"",""stop_atr"":0.1,""sweep_atr"":0.15}",22.0,12.0,10.0,22.0,0.22080151797045836,0.5510648357454331,0.3302633177749748,1.4398718869553075,3.4672582560000813,0.35509989814572523,,,,,,64,,,2.0,short,,,200.0,,,,14.0,96.0,0.1,0.1,0.15,,
